V_fluid	Pressure	Strain_rate	Hoop_stress
     1.00222      100.244            0      2471.89
     1.00212  2.18279e-11            0      2224.99
     1.00212  2.18279e-11            0      2224.99
     1.00212  2.18279e-11            0      2224.99
     1.00212 -5.36602e-11            0      2451.37
     1.00212 -6.18456e-11            0      3879.25
     1.00211  3.81988e-11            0       5768.2
     1.00211  6.45741e-11            0      8292.26
     1.00209  2.27374e-11            0        12311
     1.00208  6.18456e-11            0      16969.1
     1.00206   8.2764e-11            0      23413.8
     1.00203 -3.09228e-11            0      32450.8
       1.002  1.18234e-11            0      44608.5
     1.00195  3.36513e-11            0      61643.9
     1.00187  1.09139e-11            0      86913.7
     1.00176 -2.09184e-11            0       125083
     1.00161   8.2764e-11            0       174698
     1.00151 -4.18368e-11            0       209944
     1.00137  1.36424e-11            0       255046
      1.0012  1.09139e-11            0       313608
     1.00094  2.09184e-11  1.38778e-17       391999
     1.00057  4.54747e-12            0       497379
     1.00007  3.04681e-11            0       641972
    0.999359  6.77574e-11  1.38778e-17       845620
    0.998282 -1.95541e-11            0  1.16191e+06
    0.996615  4.36557e-11            0  1.65955e+06
    0.994064  5.54792e-11 -1.38778e-17  2.43045e+06
    0.990082 -3.63798e-12 -1.38778e-17  3.64669e+06
    0.983816  6.18456e-11  1.38778e-17  5.57865e+06
    0.974074  4.72937e-11 -2.77556e-17  8.59989e+06
    0.959624  5.82077e-11            0  1.30824e+07
     0.94006  4.36557e-11  4.16334e-17  1.90904e+07
    0.918065            0            0  2.59366e+07
    0.898616  1.16415e-10 -1.38778e-17  3.19511e+07
    0.889716  8.73115e-11 -2.77556e-17  3.42456e+07
    0.887597            0 -5.55112e-17  3.40264e+07
    0.884893  8.73115e-11            0  3.36817e+07
    0.881345            0 -5.55112e-17  3.31526e+07
    0.876417  8.73115e-11 -4.16334e-17  3.23924e+07
    0.868788  5.82077e-11 -5.55112e-17  3.14204e+07
    0.856713  2.91038e-11  2.77556e-17  3.03887e+07
    0.836277  2.91038e-11            0  2.95805e+07
    0.801675  5.82077e-11            0  2.93574e+07
    0.746736  2.91038e-11  1.38778e-17  2.92072e+07
    0.660328  8.73115e-11 -1.38778e-17  2.89728e+07
    0.527972  5.82077e-11            0  2.86152e+07
    0.338505            0 -1.04083e-17  2.81003e+07
   0.0973168  1.45519e-11  1.56125e-17  2.74282e+07
   -0.159745  1.45519e-11 -3.46945e-17  2.66699e+07
   -0.360471  2.91038e-11 -6.93889e-17  2.59911e+07
   -0.419998 -1.45519e-11 -4.16334e-17   2.5617e+07
   -0.471096            0 -4.16334e-17  2.51611e+07
    -0.55151 -1.45519e-11            0  2.44448e+07
   -0.672666 -7.27596e-11  6.93889e-18  2.33659e+07
   -0.839457            0 -2.77556e-17  2.18772e+07
    -1.03761  7.27596e-12            0   2.0117e+07
     -1.2248 -1.30967e-10 -2.77556e-17  1.84755e+07
    -1.32554            0            0  1.75889e+07
     -1.3197  1.45519e-10 -2.77556e-17  1.76279e+07
    -1.31015  2.91038e-11 -2.77556e-17  1.77136e+07
    -1.29549 -4.36557e-11 -1.38778e-17  1.78667e+07
    -1.27411 -2.91038e-11            0  1.81014e+07
    -1.24578 -1.38243e-10 -5.55112e-17  1.83864e+07
